sid,search,"splunk_server","_time","is_realtime","api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"1664383965.147","search ","20229Rs-MacBook-Pro.local","1664383965.579116",0,"1664383905.000000000","1664383965.000000000",0,1664383965,0,0,"1664383905.000000000","1664383965.000000000",completed,"0.179",,,,,,,,,,,,,,,
"1664384117.148","| walklex index=surveydata type=field | where substr(field,0,1) != "" "" | stats count by field | sort 250 -count","20229Rs-MacBook-Pro.local","1664384117.552773",0,"1664384057.000000000","1664384117.000000000",0,1664384117,0,0,"1664384057.000000000","1664384117.000000000",completed,"0.078",,,,,,,,,,,,,,,
